scheme,fold,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,n_test
cold_pair,0,lgbm_all_no_history,0.6116387346377594,0.6606788764815625,7.455158391379378,0.37388928215699,0.3842788239886154,0.05210302901290993,79861
cold_pair,1,mean,,,9.342181412426019,-1.4513581342079362e-05,0.05335936229054823,0.05335936229054823,79911
cold_pair,1,history_ridge,0.554904695235945,0.5417385409823723,7.837884369034026,0.2961057549580496,0.3119719427686495,0.05335936229054823,79911
cold_pair,1,lgbm_chem_bio,0.5461118975701502,0.5153087147803092,7.826614532239637,0.29812851256754946,0.3288203295318401,0.05335936229054823,79911
cold_pair,1,lgbm_full,0.5666857876693245,0.5563297429109756,7.69729223184521,0.3211314955019867,0.32604720895300116,0.05335936229054823,79911
cold_pair,1,lgbm_study,0.5648740117242183,0.5514262238467876,7.709337729931163,0.31900510940059024,0.32728471076366233,0.05335936229054823,79911
cold_pair,1,lgbm_mono,0.6060657040167162,0.6517987509544981,7.435294637760641,0.36655913693282716,0.3672183315617322,0.05335936229054823,79911
cold_pair,1,lgbm_all,0.6092037775842405,0.6532672165969342,7.41094791789743,0.3707007232834436,0.36865843536705184,0.05335936229054823,79911
cold_pair,1,lgbm_all_no_history,0.6043206552132772,0.653683940374989,7.443741132076821,0.3651191419059602,0.38465000962101453,0.05335936229054823,79911
cold_pair,2,mean,,,9.350899403500923,-0.00017129272274551965,0.057047063515804165,0.057047063515804165,80232
cold_pair,2,history_ridge,0.5725315141098637,0.5474406689081054,7.72738205454412,0.3169816284224586,0.3210789599863959,0.057047063515804165,80232
cold_pair,2,lgbm_chem_bio,0.560464637861738,0.5181725585800593,7.745913287110576,0.3137017727234045,0.34319677565618417,0.057047063515804165,80232
cold_pair,2,lgbm_full,0.5780471777734741,0.5611934524096818,7.664042132534606,0.3281328885571063,0.3348864130921686,0.057047063515804165,80232
cold_pair,2,lgbm_study,0.5746985350329556,0.5546488909145321,7.683085145904963,0.32478993469648465,0.32927787903573813,0.057047063515804165,80232
cold_pair,2,lgbm_mono,0.6114177443441364,0.6654967729206122,7.455783559103431,0.3641506974073002,0.3617709252280382,0.057047063515804165,80232
cold_pair,2,lgbm_all,0.6086210918445493,0.6569172768968147,7.445824211465786,0.3658482828223819,0.35835825921502645,0.057047063515804165,80232
cold_pair,2,lgbm_all_no_history,0.6134991799767445,0.6539637957651201,7.384204180757337,0.3763010555615802,0.3789975644931629,0.057047063515804165,80232
cold_drug,0,mean,,,10.111140488231166,-0.0014166323014574989,0.060505292185408975,0.060505292185408975,98636
cold_drug,0,history_ridge,0.48189970672782756,0.4573745469412091,9.607586271808275,0.0958445661689411,0.2350701484186413,0.060505292185408975,98636
cold_drug,0,lgbm_chem_bio,0.4652341424905624,0.41097793814396527,8.94562833098484,0.21614413622261275,0.2304294666930906,0.060505292185408975,98636
cold_drug,0,lgbm_full,0.40702681657400896,0.3982127864360412,9.492993582037405,0.11728423022828205,0.23674801812350738,0.060505292185408975,98636
cold_drug,0,lgbm_study,0.4210544239195318,0.42102966940155934,9.471400008352902,0.12129546419302573,0.2392701611655928,0.060505292185408975,98636
cold_drug,0,lgbm_mono,0.5390644850845889,0.5719122517308333,8.573524083591737,0.27999874216067333,0.2868913121615997,0.060505292185408975,98636
cold_drug,0,lgbm_all,0.5471635991214893,0.5694406301780814,8.640953217116907,0.26862886087604887,0.2732205238838917,0.060505292185408975,98636
cold_drug,0,lgbm_all_no_history,0.5689324492964045,0.5940391400973613,8.320437813105862,0.3218795072794802,0.2899523628612419,0.060505292185408975,98636
cold_drug,1,mean,,,9.489492211756094,-0.0013379491637610652,0.05669879432371875,0.05669879432371875,140585
cold_drug,1,history_ridge,0.455165572446495,0.40261202008279684,9.08738706410634,0.08172495660022217,0.22593085331350096,0.05669879432371875,140585
cold_drug,1,lgbm_chem_bio,0.43982574659493456,0.3970135342349415,8.525906274982445,0.19169393685797775,0.2330697546283247,0.05669879432371875,140585
cold_drug,1,lgbm_full,0.3807491615111413,0.3607048897740034,8.847527408260964,0.12956055865713434,0.24346299079594913,0.05669879432371875,140585
cold_drug,1,lgbm_study,0.4141856635719964,0.38759162288279947,8.72164651314389,0.15415324057525048,0.2642410837376753,0.05669879432371875,140585
cold_drug,1,lgbm_mono,0.5309575074253019,0.5930568861590335,8.184266500037424,0.25517498598826016,0.25364610583121894,0.05669879432371875,140585
cold_drug,1,lgbm_all,0.5166179001139479,0.5870295482963229,8.240329468321516,0.24493579812609434,0.26537680937341324,0.05669879432371875,140585
cold_drug,1,lgbm_all_no_history,0.5563695945451779,0.6233101387901863,7.885438270979278,0.30857289454862014,0.2908085200212027,0.05669879432371875,140585
cold_drug,2,mean,,,9.66352348328015,-0.005569510204887607,0.0495971662300828,0.0495971662300828,161481
cold_drug,2,history_ridge,0.4103795397221953,0.3718283297085092,9.556514209953718,0.01657758302545498,0.22847596877061896,0.0495971662300828,161481
cold_drug,2,lgbm_chem_bio,0.42214971257837886,0.36146984620892775,8.763240944688793,0.17306649352818138,0.21851469983009844,0.0495971662300828,161481
cold_drug,2,lgbm_full,0.39890015871446327,0.36422291730067935,8.942050762850968,0.13897582390271468,0.21058750122664377,0.0495971662300828,161481
cold_drug,2,lgbm_study,0.3795483246477318,0.33117165020259315,9.04376988226382,0.11927547426251917,0.19562123198749512,0.0495971662300828,161481
cold_drug,2,lgbm_mono,0.4910604368436436,0.5136650470950074,8.448240607079406,0.23144733613991852,0.23330125720339648,0.0495971662300828,161481
cold_drug,2,lgbm_all,0.49549375068267154,0.505247093319442,8.481812547687214,0.22532699187311578,0.2300991388485887,0.0495971662300828,161481
cold_drug,2,lgbm_all_no_history,0.5025319870886041,0.5432781844729718,8.505964671954217,0.2209089179782292,0.17512775269586503,0.0495971662300828,161481
cold_cell,0,mean,,,6.977025765872316,-0.08127064141408846,0.06949325835516647,0.06949325835516647,62596
cold_cell,0,history_ridge,0.48968431308879845,0.49858181094503107,6.228913845031109,0.13817635431615616,0.278348526324895,0.06949325835516647,62596
cold_cell,0,lgbm_chem_bio,0.465237389444264,0.45031969138573397,6.018324266818556,0.19546503143421567,0.3323487227538425,0.06949325835516647,62596
cold_cell,0,lgbm_full,0.48229450591024753,0.4699829147197912,5.93384982379178,0.21789176403293842,0.2835450511387383,0.06949325835516647,62596
cold_cell,0,lgbm_study,0.4518416744322874,0.4316862424100261,6.013761742150347,0.19668441380209634,0.263702393904958,0.06949325835516647,62596
cold_cell,0,lgbm_mono,0.5869073279292498,0.625787916187377,5.494120015686322,0.3295134940662169,0.29400839684163005,0.06949325835516647,62596
cold_cell,0,lgbm_all,0.5625182364765277,0.6189858321634131,5.6150402102687735,0.2996752112822437,0.25873163845361125,0.06949325835516647,62596
cold_cell,0,lgbm_all_no_history,0.6409613365155361,0.6885855991646775,5.177978303175244,0.4044555109150656,0.3820202591475068,0.06949325835516647,62596
cold_cell,1,mean,,,6.167302744966768,-0.031193488896635868,0.04348199813350361,0.04348199813350361,81436
cold_cell,1,history_ridge,0.48215183720934296,0.4782334320554751,5.445561060996555,0.19603916861701154,0.21985523237815774,0.04348199813350361,81436
