scheme,model,feature,family,gain
random,lgbm_mono,te_drug_max,Screen history: in-fold mean ZIP,0.028878724477994902
cold_drug,lgbm_mono,mono_inh_mean_max,Monotherapy response,0.02871822621450733
random,lgbm_study,te_drug_max,Screen history: in-fold mean ZIP,0.028690858036836575
random,lgbm_all,n_cell_log,Screen history: in-fold counts,0.028617977214375607
cold_drug,lgbm_all_no_history,mono_bliss_expected,Monotherapy response,0.028561467712186095
cold_cell,lgbm_mono,te_drug_max,Screen history: in-fold mean ZIP,0.02852959810348886
cold_drug,lgbm_all_no_history,mono_inh_max_max,Monotherapy response,0.028445238190405706
random,lgbm_mono,mono_inh_mean_max,Monotherapy response,0.02832099812403573
random,lgbm_study,n_cell_log,Screen history: in-fold counts,0.028145936982274702
cold_pair,lgbm_mono,mono_inh_mean_max,Monotherapy response,0.028074576615916336
cold_cell,lgbm_study,te_drug_max,Screen history: in-fold mean ZIP,0.027587714916837407
random,lgbm_all_no_history,mono_bliss_expected,Monotherapy response,0.02755427820075573
cold_cell,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.02704449829801012
cold_cell,lgbm_mono,mono_inh_mean_max,Monotherapy response,0.026781506492951843
random,lgbm_all,n_drugcell_min_log,Screen history: in-fold counts,0.026167659596952497
cold_pair,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.025395162202232268
cold_drug,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.024227951956187776
cold_pair,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.02338883066869919
cold_drug,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.023363908237993797
cold_cell,lgbm_all_no_history,mono_hsa_expected,Monotherapy response,0.023142121456190008
cold_cell,lgbm_study,n_drugcell_min_log,Screen history: in-fold counts,0.022881974159901966
cold_pair,lgbm_all,n_cell_log,Screen history: in-fold counts,0.02286509151245998
random,lgbm_all_no_history,mono_hsa_expected,Monotherapy response,0.02275045258081529
cold_drug,lgbm_all_no_history,mono_hsa_expected,Monotherapy response,0.022550461879280375
random,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.022381662585005634
cold_drug,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.022313911874577264
random,lgbm_study,te_drug_min,Screen history: in-fold mean ZIP,0.02185844295497406
cold_pair,lgbm_all_no_history,mono_hsa_expected,Monotherapy response,0.021796542152555543
cold_cell,lgbm_chem_bio,chem_logp_sum,Chemistry: descriptors & similarity,0.02174757467735901
cold_pair,lgbm_mono,mono_bliss_expected,Monotherapy response,0.02174182607812286
cold_cell,lgbm_study,te_drug_min,Screen history: in-fold mean ZIP,0.021720858568812045
cold_drug,lgbm_study,te_drug_min,Screen history: in-fold mean ZIP,0.021669396402265288
cold_drug,lgbm_mono,mono_bliss_expected,Monotherapy response,0.021663660088057313
random,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.02162927519413264
cold_pair,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.02118772044383836
cold_cell,lgbm_full,te_drug_min,Screen history: in-fold mean ZIP,0.021139111082196876
random,lgbm_all,mono_inh_max_max,Monotherapy response,0.021117910905892035
cold_pair,lgbm_all,mono_inh_mean_max,Monotherapy response,0.021109955746619034
