scheme,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,pearson_sd,spearman_sd,rmse_sd,r2_sd,auprc_synergy_sd,prevalence_synergy_sd,model_label
cold_pair,lgbm_study,0.5710731324258043,0.5549607213881469,7.704227927969069,0.3241213712136945,0.3322543878013515,0.05416981827308744,0.005394287087576659,0.0037002804159227973,0.019107377638672755,0.0048169042189059996,0.0069533863372933675,0.0025697273135835553,LightGBM: + study
cold_pair,lgbm_mono,0.6132123825342707,0.6598563254345882,7.423009188916343,0.37250017957548104,0.3726295014938054,0.05416981827308744,0.008192767680520366,0.007161761558800826,0.040345253039280216,0.012434406691267627,0.014350855024969734,0.0025697273135835553,LightGBM: + monotherapy
cold_pair,lgbm_all,0.6116980470050525,0.6582790539843745,7.424790124444677,0.3722437551050078,0.3705113994193599,0.05416981827308744,0.004833610262464204,0.005813600962840259,0.018517054890810465,0.007290502737549628,0.01317769420371492,0.0025697273135835553,LightGBM: + targets (all features)
cold_pair,lgbm_all_no_history,0.609819523275927,0.6561088708738906,7.427701234737845,0.37176982654151014,0.382642132700931,0.05416981827308744,0.004852162063725916,0.003960213782166502,0.038099655263963875,0.005884544785276719,0.0031617404636102,0.0025697273135835553,LightGBM: all features except screen history
cold_drug,mean,,,9.754718727755803,-0.0027746972233687237,0.05560041757973685,0.05560041757973685,,,0.3207009110874763,0.0024206987545519355,0.005536391114083738,0.005536391114083738,Global mean
cold_drug,history_ridge,0.449148272965506,0.41060496557750503,9.417162515289444,0.06471570193153942,0.22982565683425374,0.05560041757973685,0.03613778482297047,0.04332959962851146,0.28673328203712967,0.04228238063845871,0.004716770309920673,0.005536391114083738,Screen history (ridge on in-fold means)
cold_drug,lgbm_chem_bio,0.4424032005546253,0.38982043952927814,8.744925183552025,0.19363485553625728,0.22733797371717124,0.05560041757973685,0.021657550113071605,0.025525834958831685,0.2104596194124514,0.021604309732413226,0.007754379514826524,0.005536391114083738,LightGBM: chemistry + biology
cold_drug,lgbm_full,0.3955587122665378,0.37438019783690796,9.094190584383112,0.12860687092937703,0.2302661700487001,0.05560041757973685,0.013453725772960775,0.020714447589092574,0.3485922250198277,0.010877198593651195,0.017369807697670075,0.005536391114083738,LightGBM: + screen history
cold_drug,lgbm_study,0.40492947071308666,0.37993098082898397,9.078938801253537,0.13157472634359846,0.23304415896358774,0.05560041757973685,0.022247402070154795,0.04541618633370659,0.3761119720797398,0.01957963402394237,0.03473101411013946,0.005536391114083738,LightGBM: + study
cold_drug,lgbm_mono,0.5203608097845115,0.5595447283282914,8.402010396902854,0.25554035476295067,0.25794622506540504,0.05560041757973685,0.025696588539094102,0.04111548070771364,0.1987040282388901,0.02427776508256445,0.027052574122936494,0.005536391114083738,LightGBM: + monotherapy
cold_drug,lgbm_all,0.5197584166393696,0.5539057572646154,8.454365077708546,0.24629721695841966,0.2562321573686312,0.05560041757973685,0.02597769124570986,0.04304755153129554,0.2017173015159843,0.021683013183470417,0.02296915229295881,0.005536391114083738,LightGBM: + targets (all features)
cold_drug,lgbm_all_no_history,0.5426113436433955,0.5868758211201731,8.23728025201312,0.2837871066021099,0.2519628785261032,0.05560041757973685,0.035273537478677654,0.040493990690408405,0.3185115987713754,0.054859059771905576,0.06654254783431456,0.005536391114083738,LightGBM: all features except screen history
cold_cell,mean,,,6.615151604162404,-0.053556857354184105,0.05438009960853912,0.05438009960853912,,,0.4116510404480028,0.02546370969443581,0.01350819919278156,0.01350819919278156,Global mean
cold_cell,history_ridge,0.48401758575916176,0.4884644755481535,5.952563135690331,0.14725794913140663,0.254346152925097,0.05438009960853912,0.005002012393238729,0.010174665989924185,0.4396708260938781,0.044934079148560284,0.03062472163348111,0.01350819919278156,Screen history (ridge on in-fold means)
cold_cell,lgbm_chem_bio,0.4139582947036135,0.4234816298103518,6.0471928529581715,0.11730771144735368,0.2425517441644142,0.05438009960853912,0.07286137666059768,0.0426461967712858,0.48095229855236954,0.10268802672723476,0.09347083181914578,0.01350819919278156,LightGBM: chemistry + biology
cold_cell,lgbm_full,0.45263075222868826,0.4237694296877476,5.776223523657193,0.19560364238277886,0.25473187479398895,0.05438009960853912,0.02585767064857488,0.05369423029786811,0.2461598416555044,0.019445861065300673,0.024957168154801555,0.01350819919278156,LightGBM: + screen history
cold_cell,lgbm_study,0.4528900574196854,0.4307899552720818,5.7793266225278375,0.19548046987629156,0.2556151842865188,0.05438009960853912,0.0062624161284030744,0.012315233749835926,0.3122545531027238,0.007333464579636638,0.007598869864145215,0.01350819919278156,LightGBM: + study
