point_id,session,designation,point,proposition_id,proposition_reference,proposition_title,proposition_url,committee_url,link_evidence,comparison_status
HD01UbU16:5,2025/26,UbU16,5,HD0347,2025/26:47,Riksrevisionens rapport om systemet för lärarlegitimation,https://data.riksdagen.se/dokument/HD0347,https://data.riksdagen.se/dokument/HD01UbU16,explicit_citation,document_level_only
HD01UbU19:2,2025/26,UbU19,2,HD03166,2025/26:166,Riksrevisionens rapport om utbildning på vetenskaplig grund,https://data.riksdagen.se/dokument/HD03166,https://data.riksdagen.se/dokument/HD01UbU19,explicit_citation,document_level_only
HD01UbU20:1,2025/26,UbU20,1,HD03191,2025/26:191,Offentlighetsprincipen med lättnadsregler för enskilda mindre huvudmän i skolväsendet,https://data.riksdagen.se/dokument/HD03191,https://data.riksdagen.se/dokument/HD01UbU20,explicit_citation,document_level_only
HD01UbU21:1,2025/26,UbU21,1,HD03192,2025/26:192,Överlämnande av uppgifter mellan skolor i brottsförebyggande syfte,https://data.riksdagen.se/dokument/HD03192,https://data.riksdagen.se/dokument/HD01UbU21,explicit_citation,document_level_only
HD01UbU22:1,2025/26,UbU22,1,HD03193,2025/26:193,Bättre förutsättningar för trygghet och studiero i skolan,https://data.riksdagen.se/dokument/HD03193,https://data.riksdagen.se/dokument/HD01UbU22,explicit_citation,document_level_only
HD01UbU23:1,2025/26,UbU23,1,HD03194,2025/26:194,Nya läroplaner - för en stark kunskapsskola,https://data.riksdagen.se/dokument/HD03194,https://data.riksdagen.se/dokument/HD01UbU23,explicit_citation,document_level_only
HD01UbU24:1,2025/26,UbU24,1,HD03195,2025/26:195,Förbättrat stöd i skolan,https://data.riksdagen.se/dokument/HD03195,https://data.riksdagen.se/dokument/HD01UbU24,explicit_citation,document_level_only
HD01UbU25:1,2025/26,UbU25,1,HD03196,2025/26:196,Tid för undervisningsuppdraget,https://data.riksdagen.se/dokument/HD03196,https://data.riksdagen.se/dokument/HD01UbU25,explicit_citation,document_level_only
HD01UbU26:1,2025/26,UbU26,1,HD03194,2025/26:194,Nya läroplaner - för en stark kunskapsskola,https://data.riksdagen.se/dokument/HD03194,https://data.riksdagen.se/dokument/HD01UbU26,explicit_citation,document_level_only
HD01UbU26:1,2025/26,UbU26,1,HD03195,2025/26:195,Förbättrat stöd i skolan,https://data.riksdagen.se/dokument/HD03195,https://data.riksdagen.se/dokument/HD01UbU26,explicit_citation,document_level_only
HD01UbU26:1,2025/26,UbU26,1,HD03196,2025/26:196,Tid för undervisningsuppdraget,https://data.riksdagen.se/dokument/HD03196,https://data.riksdagen.se/dokument/HD01UbU26,explicit_citation,document_level_only
HD01UbU26:1,2025/26,UbU26,1,HD03197,2025/26:197,Ett likvärdigt betygssystem,https://data.riksdagen.se/dokument/HD03197,https://data.riksdagen.se/dokument/HD01UbU26,explicit_citation,document_level_only
HD01UbU26:1,2025/26,UbU26,1,HD03198,2025/26:198,Bättre förutsättningar för yrkesutbildning,https://data.riksdagen.se/dokument/HD03198,https://data.riksdagen.se/dokument/HD01UbU26,explicit_citation,document_level_only
HD01UbU27:1,2025/26,UbU27,1,HD03198,2025/26:198,Bättre förutsättningar för yrkesutbildning,https://data.riksdagen.se/dokument/HD03198,https://data.riksdagen.se/dokument/HD01UbU27,explicit_citation,document_level_only
HD01UbU29:1,2025/26,UbU29,1,HD03174,2025/26:174,Utökade registerkontroller i skolväsendet,https://data.riksdagen.se/dokument/HD03174,https://data.riksdagen.se/dokument/HD01UbU29,explicit_citation,document_level_only
HD01UbU2:2,2025/26,UbU2,2,HD031,2025/26:1,Budgetpropositionen för 2026,https://data.riksdagen.se/dokument/HD031,https://data.riksdagen.se/dokument/HD01UbU2,explicit_citation,document_level_only
HD01UbU30:1,2025/26,UbU30,1,HD03292,2025/26:292,Skärpta villkor för friskolesektorn,https://data.riksdagen.se/dokument/HD03292,https://data.riksdagen.se/dokument/HD01UbU30,explicit_citation,document_level_only
HD01UbU31:1,2025/26,UbU31,1,HD03260,2025/26:260,En mer ändamålsenlig reglering av etikprövning av forskning som avser människor,https://data.riksdagen.se/dokument/HD03260,https://data.riksdagen.se/dokument/HD01UbU31,explicit_citation,document_level_only
HD01UbU4:1,2025/26,UbU4,1,HD0310,2025/26:10,Skärpta krav i kommunal vuxenutbildning i svenska för invandrare (sfi),https://data.riksdagen.se/dokument/HD0310,https://data.riksdagen.se/dokument/HD01UbU4,explicit_citation,document_level_only
HD01UbU6:4,2025/26,UbU6,4,HD0367,2025/26:67,"Riksrevisionens rapport om likvärdighet i förskolan - statens stöd, uppföljning och tillsyn",https://data.riksdagen.se/dokument/HD0367,https://data.riksdagen.se/dokument/HD01UbU6,explicit_citation,document_level_only
